Date,Open Price,High Price,Low Price,Close Price,Volume
1/1/2024,,,,,
1/2/2024,187.15,188.44,183.88,185.64,82.5
1/3/2024,184.22,185.88,183.43,184.25,58.4
1/4/2024,182.15,183.09,180.88,181.91,72.0
1/5/2024,181.99,182.76,180.17,181.18,62.4
1/6/2024,,,,,
1/7/2024,,,,,
1/8/2024,182.09,185.60,181.50,185.56,59.1
1/9/2024,183.92,185.15,182.73,185.14,42.8
1/10/2024,184.35,186.40,183.92,186.19,46.8
1/11/2024,186.54,187.05,183.62,185.59,49.1
1/12/2024,186.06,186.74,185.19,185.92,40.5
1/13/2024,,,,,
1/14/2024,,,,,
1/15/2024,,,,,
1/16/2024,182.16,184.26,180.93,183.63,65.6
1/17/2024,181.27,182.93,180.30,182.68,47.3
1/18/2024,186.09,189.14,185.83,188.63,78.0
1/19/2024,189.33,191.95,188.82,191.56,68.9
1/20/2024,,,,,
1/21/2024,,,,,
1/22/2024,192.30,195.33,192.26,193.89,60.1
1/23/2024,195.02,195.75,193.83,195.18,42.4
1/24/2024,195.42,196.38,194.34,194.50,53.6
1/25/2024,195.22,196.27,193.11,194.17,54.8
1/26/2024,194.27,194.76,191.94,192.42,44.6
1/27/2024,,,,,
1/28/2024,,,,,
1/29/2024,192.01,192.20,189.58,191.73,47.1
1/30/2024,190.94,191.80,187.47,188.04,55.9
1/31/2024,187.04,187.09,184.35,184.40,55.5
2/1/2024,183.99,186.95,183.82,186.86,64.9
2/2/2024,179.86,187.33,179.25,185.85,102.6
2/3/2024,,,,,
2/4/2024,,,,,
2/5/2024,188.15,189.25,185.84,187.68,69.7
2/6/2024,186.86,189.31,186.77,189.30,43.5
2/7/2024,190.64,191.05,188.61,189.41,53.4
2/8/2024,189.38,189.53,187.35,188.32,41.0
2/9/2024,188.65,189.99,188.00,188.85,45.2
2/10/2024,,,,,
2/11/2024,,,,,
2/12/2024,188.41,188.67,186.79,187.15,41.8
2/13/2024,185.77,186.21,183.51,185.04,56.5
2/14/2024,185.32,185.53,182.44,184.15,54.6
2/15/2024,183.55,184.49,181.35,183.86,65.4
2/16/2024,183.42,184.85,181.66,182.31,49.8
2/17/2024,,,,,
2/18/2024,,,,,
2/19/2024,,,,,
2/20/2024,181.79,182.43,180.00,181.56,53.7
2/21/2024,181.94,182.89,180.66,182.32,41.5
2/22/2024,183.48,184.96,182.46,184.37,52.3
2/23/2024,185.01,185.04,182.23,182.52,45.1
2/24/2024,,,,,
2/25/2024,,,,,
